Slide_No,State,District,Toposheet,Latitude,Longitude,Length,Width,Height,Area,Activity,Geomorphol,Lithology,LULC,Triggering,Year,Basin,Sub_Basin,Source,feature_id,geometry_type
SK /GTK /78A11 /2023 /7,SIKKIM,GANGTOK,78A11,27.2654,88.5321,73.195,32.66,63.1723632813,1677.37003337,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.224,MultiPolygon
SK /GTK /78A11 /2023 /17,SIKKIM,GANGTOK,78A11,27.2666,88.5567,49.841,12.948,187.668945313,473.38826594,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.234,MultiPolygon
SK /GYL /78A3 /2023 /32,SIKKIM,GYALSHING,78A3,27.2814,88.0987,109.235,73.223,37.0515136719,4259.4435622,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.126,MultiPolygon
SK /GYL /78A3 /2023 /34,SIKKIM,GYALSHING,78A3,27.2794,88.0976,56.144,36.975,75.408996582,1530.08011522,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.128,MultiPolygon
SK /GYL /78A3 /2023 /37,SIKKIM,GYALSHING,78A3,27.28,88.0971,101.29,54.958,70.0,4222.13338611,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Others - Snow Covered,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.132,MultiPolygon
SK /GYL /78A3 /2023 /38,SIKKIM,GYALSHING,78A3,27.2804,88.0981,47.869,30.764,24.0,1046.64446304,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Others - Snow Covered,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.133,MultiPolygon
SK /GYL /78A3 /2023 /9,SIKKIM,GYALSHING,78A3,27.2764,88.1248,128.229,45.475,19.9663085938,4352.53546538,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.81,MultiPolygon
SK /GYL /78A7 /2023 /10,SIKKIM,GYALSHING,78A7,27.2812,88.2506,39.648,37.96,80.8909912109,1105.98537833,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.66,MultiPolygon
SK /GYL /78A7 /2023 /11,SIKKIM,GYALSHING,78A7,27.2918,88.2619,98.079,38.972,9.99182128906,2661.95809629,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.67,MultiPolygon
SK /GYL /78A7 /2023 /17,SIKKIM,GYALSHING,78A7,27.2941,88.262,199.114,34.806,84.9678955078,3883.41026313,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.73,MultiPolygon
