Slide_No,State,District,Toposheet,Latitude,Longitude,Length,Width,Height,Area,Activity,Geomorphol,Lithology,LULC,Triggering,Year,Basin,Sub_Basin,Source,feature_id,geometry_type
SK /GYL /78A3 /2023 /16,SIKKIM,GYALSHING,78A3,27.3513,88.0733,84.346,58.33,24.0,3124.92681502,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.88,MultiPolygon
SK /GYL /78A3 /2023 /22,SIKKIM,GYALSHING,78A3,27.35,88.0719,30.983,20.305,21.9508056641,515.486704144,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.94,MultiPolygon
SK /GYL /78A3 /2023 /23,SIKKIM,GYALSHING,78A3,27.3412,88.0713,58.881,23.55,18.6024169922,1028.85289054,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.95,MultiPolygon
SK /GYL /78A3 /2023 /17,SIKKIM,GYALSHING,78A3,27.3521,88.0859,93.487,40.892,13.1402587891,2626.57536153,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.89,MultiPolygon
SK /GYL /78A3 /2023 /18,SIKKIM,GYALSHING,78A3,27.3522,88.0799,137.731,32.858,126.642822266,2270.24746891,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.90,MultiPolygon
SK /GYL /78A3 /2023 /21,SIKKIM,GYALSHING,78A3,27.3516,88.079,60.414,22.992,33.8336181641,995.18322444,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.93,MultiPolygon
SK /GYL /78A3 /2023 /27,SIKKIM,GYALSHING,78A3,27.3521,88.0816,39.431,22.138,6.32836914063,680.838492894,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.101,MultiPolygon
SK /GYL /78A3 /2023 /40,SIKKIM,GYALSHING,78A3,27.3519,88.0875,74.654,20.804,37.0104370117,1226.46168707,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Others - Snow Covered,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.135,MultiPolygon
SK /GYL /78A3 /2023 /7,SIKKIM,GYALSHING,78A3,27.3481,88.1307,34.907,33.145,39.1520996094,909.38681937,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.79,MultiPolygon
SK /GTK /78A7 /2023 /65,SIKKIM,GANGTOK,78A7,27.3431,88.4807,72.285,47.21,43.2359619141,2350.28661963,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.235,MultiPolygon
SK /GTK /78A7 /2023 /66,SIKKIM,GANGTOK,78A7,27.3425,88.4806,47.011,46.323,873.827758789,1704.98438613,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.236,MultiPolygon
SK /GTK /78A11 /2023 /10,SIKKIM,GANGTOK,78A11,27.3543,88.6582,70.608,49.71,32.3518066406,2278.19526135,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.227,MultiPolygon
SK /GTK /78A15 /2023 /1,SIKKIM,GANGTOK,78A15,27.348,88.7563,137.838,48.722,20.1522216797,3198.58827592,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.219,MultiPolygon
SK /GYL /78A3 /2023 /25,SIKKIM,GYALSHING,78A3,27.3635,88.0886,55.153,14.588,3.0,585.239231762,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.99,MultiPolygon
SK /GYL /78A3 /2023 /11,SIKKIM,GYALSHING,78A3,27.3624,88.099,65.494,28.986,43.6374511719,1426.784354,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.83,MultiPolygon
SK /GYL /78A3 /2023 /12,SIKKIM,GYALSHING,78A3,27.3616,88.1083,69.364,45.537,21.0,2180.99960624,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.84,MultiPolygon
SK /GYL /78A3 /2023 /6,SIKKIM,GYALSHING,78A3,27.3576,88.1188,36.891,22.707,139.109130859,657.113018817,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.78,MultiPolygon
SK /NAM /78A7 /2023 /62,SIKKIM,NAMCHI,78A7,27.3616,88.4769,86.764,46.621,5.0,2341.15411683,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.189,MultiPolygon
SK /GTK /78A7 /2023 /64,SIKKIM,GANGTOK,78A7,27.3648,88.4793,166.634,95.096,127.971435547,10538.3723313,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.222,MultiPolygon
SK /GTK /78A11 /2023 /12,SIKKIM,GANGTOK,78A11,27.3561,88.5915,106.991,59.436,49.8813476563,3700.41547079,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.229,MultiPolygon
SK /GTK /78A11 /2023 /8,SIKKIM,GANGTOK,78A11,27.3636,88.6517,95.641,30.883,343.623535156,1826.85521605,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Sparse Scrub Land,Road Cutting,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.225,MultiPolygon
SK /GTK /78A11 /2023 /9,SIKKIM,GANGTOK,78A11,27.3576,88.6573,100.656,48.973,38.4576416016,3907.46011174,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.226,MultiPolygon
SK /GTK /78A11 /2023 /11,SIKKIM,GANGTOK,78A11,27.3756,88.664,44.727,42.635,13.6115722656,1337.15558326,Active,Moderately Dissected Structural Hills and Valleys,"QUARTZITE,MICA SCHIST, GNEISS,CALCGRANULITE",Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.228,MultiPolygon
SK /GYL /78A7 /2023 /25,SIKKIM,GYALSHING,78A7,27.3834,88.311,76.2,30.163,7.68310546875,1738.91144687,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Agriculture - Single crop Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.104,MultiPolygon
SK /GYL /78A7 /2023 /26,SIKKIM,GYALSHING,78A7,27.3834,88.2967,181.258,82.188,12.0103759766,7755.86298116,Reactivated,Moderately Dissected Structural Hills and Valleys,CALC GRANULITE WITH /WITHOUT QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.105,MultiPolygon
SK /GYL /78A7 /2023 /27,SIKKIM,GYALSHING,78A7,27.3845,88.2953,81.125,42.096,25.3566894531,2537.13876739,Active,Moderately Dissected Structural Hills and Valleys,CALC GRANULITE WITH /WITHOUT QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.106,MultiPolygon
SK /GYL /78A7 /2023 /3,SIKKIM,GYALSHING,78A7,27.3857,88.3267,211.637,74.034,12.7595214844,10617.1490224,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.53,MultiPolygon
SK /GYL /78A7 /2023 /4,SIKKIM,GYALSHING,78A7,27.3871,88.3157,224.801,78.552,155.0,12045.6426438,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.54,MultiPolygon
SK /GYL /78A7 /2023 /46,SIKKIM,GYALSHING,78A7,27.3841,88.3251,54.629,22.644,5.53607177734,932.776563137,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.137,MultiPolygon
SK /GYL /78A7 /2023 /1,SIKKIM,GYALSHING,78A7,27.3951,88.3456,151.403,76.472,65.5678100586,7929.74531327,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.51,MultiPolygon
SK /GTK /78A11 /2023 /13,SIKKIM,GANGTOK,78A11,27.3806,88.5308,74.285,36.39,38.5545654297,1867.56763256,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.230,MultiPolygon
SK /MNG /78A11 /2023 /31,SIKKIM,MANGAN,78A11,27.3957,88.624,37.457,20.712,157.963867188,579.490797668,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.315,MultiPolygon
SK /GYL /78A7 /2023 /21,SIKKIM,GYALSHING,78A7,27.4002,88.2801,69.446,51.879,5.03051757813,2283.10886937,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.77,MultiPolygon
SK /GYL /78A7 /2023 /29,SIKKIM,GYALSHING,78A7,27.4086,88.2833,58.567,32.346,11.3001098633,1380.92637312,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.108,MultiPolygon
SK /GYL /78A7 /2023 /30,SIKKIM,GYALSHING,78A7,27.407,88.2844,41.021,29.224,41.0,877.684826817,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.109,MultiPolygon
SK /GYL /78A7 /2023 /31,SIKKIM,GYALSHING,78A7,27.4068,88.2818,59.364,20.902,29.1368408203,856.90252112,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.110,MultiPolygon
SK /GYL /78A7 /2023 /32,SIKKIM,GYALSHING,78A7,27.4024,88.2851,55.947,24.416,32.9211425781,1005.14987037,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.111,MultiPolygon
SK /GYL /78A7 /2023 /33,SIKKIM,GYALSHING,78A7,27.4031,88.2846,70.043,28.829,5.85900878906,1286.40352955,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.112,MultiPolygon
SK /GYL /78A7 /2023 /34,SIKKIM,GYALSHING,78A7,27.4044,88.2829,22.741,14.085,178.419799805,262.576310683,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.113,MultiPolygon
SK /GYL /78A7 /2023 /36,SIKKIM,GYALSHING,78A7,27.4128,88.2851,66.326,35.077,1.79632568359,1836.33958599,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.115,MultiPolygon
SK /GYL /78A7 /2023 /37,SIKKIM,GYALSHING,78A7,27.4024,88.2842,56.901,19.824,47.7454833984,906.042107761,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.116,MultiPolygon
SK /GYL /78A7 /2023 /39,SIKKIM,GYALSHING,78A7,27.4088,88.2888,60.203,25.53,26.8107910156,1150.5963298,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.118,MultiPolygon
SK /GYL /78A7 /2023 /40,SIKKIM,GYALSHING,78A7,27.4126,88.2842,70.649,23.055,62.0,1232.41452895,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.119,MultiPolygon
SK /GYL /78A7 /2023 /41,SIKKIM,GYALSHING,78A7,27.4134,88.2841,32.834,15.38,551.173828125,374.339967792,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.120,MultiPolygon
SK /GYL /78A7 /2023 /48,SIKKIM,GYALSHING,78A7,27.4003,88.281,78.986,57.605,57.6767578125,3328.29966732,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.139,MultiPolygon
SK /GYL /78A7 /2023 /28,SIKKIM,GYALSHING,78A7,27.4093,88.3093,66.631,31.11,7.11822509766,1563.33793286,Active,Highly Dissected Structural Hills and Valleys,CALC GRANULITE WITH /WITHOUT QUARTZITE,Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.107,MultiPolygon
SK /GYL /78A7 /2023 /43,SIKKIM,GYALSHING,78A7,27.409,88.2981,51.563,24.82,62.1365966797,937.974252492,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.125,MultiPolygon
SK /MNG /78A11 /2023 /28,SIKKIM,MANGAN,78A11,27.4047,88.5619,63.441,40.428,23.0,1638.82930215,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.276,MultiPolygon
SK /MNG /78A11 /2023 /32,SIKKIM,MANGAN,78A11,27.4066,88.595,29.169,19.985,142.946533203,455.592737342,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.316,MultiPolygon
SK /GYL /78A7 /2023 /2,SIKKIM,GYALSHING,78A7,27.4339,88.2675,40.757,27.021,29.9545898438,872.577047469,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.52,MultiPolygon
SK /GYL /78A7 /2023 /35,SIKKIM,GYALSHING,78A7,27.4204,88.2724,81.185,28.206,36.1861572266,1890.69677938,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.114,MultiPolygon
SK /MNG /78A11 /2023 /27,SIKKIM,MANGAN,78A11,27.4264,88.5825,94.369,43.231,154.672851563,2855.52947216,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.275,MultiPolygon
SK /GYL /78A3 /2023 /24,SIKKIM,GYALSHING,78A3,27.4432,88.1672,215.308,214.845,183.0,29187.8312191,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.96,MultiPolygon
SK /NAM /78A7 /2023 /58,SIKKIM,NAMCHI,78A7,27.4479,88.336,174.084,78.877,126.0,10041.2403091,Reactivated,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.181,MultiPolygon
SK /MNG /78A11 /2023 /29,SIKKIM,MANGAN,78A11,27.443,88.5018,251.431,91.94,79.0521240234,13909.6244291,Reactivated,Highly Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.307,MultiPolygon
SK /MNG /78A11 /2023 /30,SIKKIM,MANGAN,78A11,27.4637,88.5028,126.316,47.714,137.338745117,3720.37554146,Active,Highly Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.308,MultiPolygon
